2021-04-26 13:28:07,467 | DEBUG | characters.act:47 | Champion IHaveNoIdeaWhatImDoingController picked action Action.STEP_FORWARD.
2021-04-26 13:28:07,467 | DEBUG | arenas.step_forward:108 | Champion IHaveNoIdeaWhatImDoingController entered tile Coords(x=36, y=47).
2021-04-26 13:28:07,495 | DEBUG | games._environment_action:75 | Starting episode 14.
2021-04-26 13:28:07,551 | DEBUG | characters.act:47 | Champion ClaretWolfController picked action Action.STEP_FORWARD.
2021-04-26 13:28:07,551 | DEBUG | arenas.step_forward:108 | Champion ClaretWolfController entered tile Coords(x=44, y=74).
2021-04-26 13:28:07,592 | DEBUG | characters.act:47 | Champion TupTupBot picked action Action.STEP_FORWARD.
2021-04-26 13:28:07,592 | DEBUG | arenas.step_forward:108 | Champion TupTupBot entered tile Coords(x=39, y=42).
2021-04-26 13:28:07,634 | DEBUG | characters.act:47 | Champion BotElkaZ nami na pewno zdasz picked action Action.TURN_RIGHT.
2021-04-26 13:28:07,634 | DEBUG | characters.turn_right:73 | Champion BotElkaZ nami na pewno zdasz is now facing Facing.RIGHT.
2021-04-26 13:28:07,676 | DEBUG | characters.act:47 | Champion BBBotControllerBartek picked action Action.TURN_RIGHT.
2021-04-26 13:28:07,676 | DEBUG | characters.turn_right:73 | Champion BBBotControllerBartek is now facing Facing.LEFT.
2021-04-26 13:28:07,720 | DEBUG | characters.act:47 | Champion Krowa1233ControllerKrowka picked action Action.TURN_LEFT.
2021-04-26 13:28:07,722 | DEBUG | characters.turn_left:68 | Champion Krowa1233ControllerKrowka is now facing Facing.LEFT.
2021-04-26 13:28:07,933 | DEBUG | characters.act:47 | Champion IHaveNoIdeaWhatImDoingController picked action Action.STEP_FORWARD.
2021-04-26 13:28:07,934 | DEBUG | arenas.step_forward:108 | Champion IHaveNoIdeaWhatImDoingController entered tile Coords(x=36, y=48).
2021-04-26 13:28:07,970 | DEBUG | games._environment_action:75 | Starting episode 15.
2021-04-26 13:28:07,970 | DEBUG | arenas.increase_mist:125 | Radius of mist-free space decreased to 139.
2021-04-26 13:28:08,032 | DEBUG | characters.act:47 | Champion ClaretWolfController picked action Action.ATTACK.
2021-04-26 13:28:08,032 | DEBUG | characters.attack:81 | Champion ClaretWolfController attacked with its knife.
2021-04-26 13:28:08,071 | DEBUG | characters.act:47 | Champion TupTupBot picked action Action.STEP_FORWARD.
2021-04-26 13:28:08,071 | DEBUG | arenas.step_forward:108 | Champion TupTupBot entered tile Coords(x=39, y=41).
2021-04-26 13:28:08,105 | DEBUG | characters.act:47 | Champion BotElkaZ nami na pewno zdasz picked action Action.TURN_RIGHT.
2021-04-26 13:28:08,105 | DEBUG | characters.turn_right:73 | Champion BotElkaZ nami na pewno zdasz is now facing Facing.DOWN.
2021-04-26 13:28:08,152 | DEBUG | characters.act:47 | Champion BBBotControllerBartek picked action Action.TURN_RIGHT.
2021-04-26 13:28:08,153 | DEBUG | characters.turn_right:73 | Champion BBBotControllerBartek is now facing Facing.UP.
2021-04-26 13:28:08,196 | DEBUG | characters.act:47 | Champion Krowa1233ControllerKrowka picked action Action.TURN_LEFT.
2021-04-26 13:28:08,197 | DEBUG | characters.turn_left:68 | Champion Krowa1233ControllerKrowka is now facing Facing.DOWN.
2021-04-26 13:28:08,466 | DEBUG | characters.act:47 | Champion IHaveNoIdeaWhatImDoingController picked action Action.STEP_FORWARD.
2021-04-26 13:28:08,466 | DEBUG | arenas.step_forward:108 | Champion IHaveNoIdeaWhatImDoingController entered tile Coords(x=36, y=49).
2021-04-26 13:28:08,496 | DEBUG | games._environment_action:75 | Starting episode 16.
2021-04-26 13:28:08,557 | DEBUG | characters.act:47 | Champion ClaretWolfController picked action Action.STEP_FORWARD.
